"date","totalDose1","totalDose2","dose1Only","totalDoses","totalDosesPriorDay","dist","percent"
2020-12-17,0,0,0,0,NA,NA,NA
2020-12-18,1226,0,1226,1226,1226,NA,NA
2020-12-21,4827,0,4827,4827,3601,NA,NA
2020-12-22,6400,0,6400,6400,1573,NA,NA
2020-12-23,7072,0,7072,7072,672,NA,NA
2020-12-28,11935,0,11935,11935,4863,NA,NA
2020-12-29,12869,0,12869,12869,934,49000,26.26
2020-12-30,17020,0,17020,17020,4151,NA,NA
2021-01-04,24145,121,24024,24266,7246,55600,43.64
2021-01-05,25763,400,25363,26163,1897,55600,47.06
2021-01-06,27966,643,27323,28609,2446,72175,39.64
2021-01-07,28603,1103,27500,29706,1097,72175,41.16
2021-01-08,29743,1798,27945,31541,1835,NA,NA
2021-01-11,31007,4642,26365,35649,4108,80225,44.44
2021-01-12,36649,6074,30575,42723,7074,82175,51.99
2021-01-13,38197,7446,30751,45643,2920,84125,54.26
2021-01-14,39502,8616,30886,48118,2475,108425,44.38
2021-01-15,41977,9243,32734,51220,3102,NA,NA
2021-01-19,46817,11049,35768,57866,6646,122575,47.21
2021-01-20,49113,11780,37333,60893,3027,127450,47.78
2021-01-21,50637,12515,38122,63152,2259,136225,46.36
2021-01-22,52925,13145,39780,66070,2918,149225,44.28
2021-01-23,54287,13260,41027,67547,1477,149225,45.27
2021-01-24,56751,13649,43102,70400,2853,149225,47.18
2021-01-25,59259,14735,44524,73994,3594,151675,48.78
2021-01-26,60900,17291,43609,78191,4197,151675,51.55
2021-01-27,62620,19683,42937,82303,4112,153625,53.57
2021-01-28,64435,21880,42555,86315,4012,157525,54.79
2021-01-29,66778,22983,43795,89761,3446,173225,51.82
2021-01-30,67744,23408,44336,91152,1391,173225,52.62
2021-01-31,68779,25435,43344,94214,3062,173225,54.39
2021-02-01,74557,25917,48640,100474,6260,176150,57.04
2021-02-02,75523,26861,48662,102384,1910,176650,57.96
2021-02-03,76741,28310,48431,105051,2667,178600,58.82
2021-02-04,79040,29884,49156,108924,3873,178600,60.99
2021-02-05,82078,31578,50500,113656,4732,192300,59.1
2021-02-06,83326,33699,49627,117025,3369,192300,60.86
2021-02-07,85037,35402,49635,120439,3414,192300,62.63
2021-02-08,86750,35997,50753,122747,2308,207950,59.03
2021-02-09,88234,36974,51260,125208,2461,208350,60.1
2021-02-10,89794,38063,51731,127857,2649,211650,60.41
2021-02-11,93489,40355,53134,133844,5987,211850,63.18
2021-02-12,95829,42116,53713,137945,4101,228650,60.33
2021-02-13,97380,43717,53663,141097,3152,228650,61.71
2021-02-15,101461,46874,54587,148335,7238,NA,NA
2021-02-16,103369,47801,55568,151170,2835,NA,NA
