"date","totalDose1","totalDose2","dose1Only","totalDoses","totalDosesPriorDay"
2020-12-17,0,0,0,0,NA
2020-12-18,1226,0,1226,1226,1226
2020-12-21,4827,0,4827,4827,3601
2020-12-22,6400,0,6400,6400,1573
2020-12-23,7072,0,7072,7072,672
2020-12-28,11935,0,11935,11935,4863
2020-12-29,12869,0,12869,12869,934
2020-12-30,17020,0,17020,17020,4151
2021-01-04,24145,121,24024,24266,7246
2021-01-05,25763,400,25363,26163,1897
2021-01-06,27966,643,27323,28609,2446
2021-01-07,28603,1103,27500,29706,1097
2021-01-08,29743,1798,27945,31541,1835
2021-01-11,31007,4642,26365,35649,4108
2021-01-12,36649,6074,30575,42723,7074
2021-01-13,38197,7446,30751,45643,2920
2021-01-14,39502,8616,30886,48118,2475
2021-01-15,41977,9243,32734,51220,3102
2021-01-19,46817,11049,35768,57866,6646
2021-01-20,49113,11780,37333,60893,3027
2021-01-21,50637,12515,38122,63152,2259
2021-01-22,52925,13145,39780,66070,2918
2021-01-23,54287,13260,41027,67547,1477
2021-01-24,56751,13649,43102,70400,2853
2021-01-25,59259,14735,44524,73994,3594
2021-01-26,60900,17291,43609,78191,4197
2021-01-27,62620,19683,42937,82303,4112
2021-01-28,64435,21880,42555,86315,4012
2021-01-29,66778,22983,43795,89761,3446
2021-01-30,67744,23408,44336,91152,1391
2021-01-31,68779,25435,43344,94214,3062
2021-02-01,74557,25917,48640,100474,6260
2021-02-02,75523,26861,48662,102384,1910
2021-02-03,76741,28310,48431,105051,2667
2021-02-04,79040,29884,49156,108924,3873
2021-02-05,82078,31578,50500,113656,4732
2021-02-06,83326,33699,49627,117025,3369
2021-02-07,85037,35402,49635,120439,3414
2021-02-08,86750,35997,50753,122747,2308
2021-02-09,88234,36974,51260,125208,2461
2021-02-10,89794,38063,51731,127857,2649
2021-02-11,93489,40355,53134,133844,5987
2021-02-12,95829,42116,53713,137945,4101
2021-02-13,97380,43717,53663,141097,3152
2021-02-15,101461,46874,54587,148335,7238
2021-02-16,103369,47801,55568,151170,2835
