"date","dist","admin","pct"
"2020-12-30",49000,12526,25.56
"2020-12-31",NA,NA,NA
"2021-01-01",NA,NA,NA
"2021-01-02",49000,18829,38.43
"2021-01-03",NA,NA,NA
"2021-01-04",55600,22544,40.55
"2021-01-05",55600,23151,41.64
"2021-01-06",55600,25688,46.2
"2021-01-07",72175,27696,38.37
"2021-01-08",72175,30264,41.93
"2021-01-09",NA,NA,NA
"2021-01-10",NA,NA,NA
"2021-01-11",80225,37707,47
"2021-01-12",80225,39568,49.32
"2021-01-13",82175,42028,51.14
"2021-01-14",84125,44871,53.34
"2021-01-15",108425,47548,43.85
"2021-01-16",NA,NA,NA
"2021-01-17",NA,NA,NA
"2021-01-18",NA,NA,NA
"2021-01-19",108425,54081,49.88
"2021-01-20",122575,56617,46.19
"2021-01-21",127450,59014,46.3
"2021-01-22",136225,61974,45.49
"2021-01-23",149225,63249,42.38
"2021-01-24",149225,67566,45.28
"2021-01-25",149225,70419,47.19
"2021-01-26",151675,72264,47.64
"2021-01-27",151675,76284,50.29
"2021-01-28",153625,80138,52.16
"2021-01-29",157525,83607,53.08
"2021-01-30",173225,88094,50.86
"2021-01-31",173225,91177,52.64
"2021-02-01",173225,94240,54.4
"2021-02-02",176150,99541,56.51
"2021-02-03",176650,101474,57.44
"2021-02-04",178600,103876,58.16
"2021-02-05",178600,106949,59.88
"2021-02-06",192300,111830,58.15
"2021-02-07",192300,117067,60.88
"2021-02-08",192300,120484,62.65
"2021-02-09",207950,122079,58.71
"2021-02-10",208350,124962,59.98
"2021-02-11",211650,127931,60.44
"2021-02-12",211850,131913,62.27
"2021-02-13",228650,136904,59.87
"2021-02-14",228650,141155,61.73
