"date","state","dist","admin","pct"
2021-01-04,"CT",149900,75946,50.66
2021-01-05,"CT",149900,81970,54.68
2021-01-06,"CT",149900,93056,62.08
2021-01-07,"CT",219125,100889,46.04
2021-01-08,"CT",219125,116277,53.06
2021-01-09,"CT",NA,NA,NA
2021-01-10,"CT",NA,NA,NA
2021-01-11,"CT",246875,147174,59.61
2021-01-12,"CT",250775,151395,60.37
2021-01-13,"CT",315025,161875,51.38
2021-01-14,"CT",328675,171897,52.3
2021-01-15,"CT",328775,185866,56.53
2021-01-16,"CT",NA,NA,NA
2021-01-17,"CT",NA,NA,NA
2021-01-18,"CT",NA,NA,NA
2021-01-19,"CT",328775,229524,69.81
2021-01-20,"CT",430375,243140,56.49
2021-01-21,"CT",435075,264707,60.84
2021-01-22,"CT",477250,287440,60.23
2021-01-23,"CT",492850,306796,62.25
2021-01-24,"CT",492850,321737,65.28
2021-01-25,"CT",492850,331264,67.21
2021-01-26,"CT",515675,342643,66.45
2021-01-27,"CT",543975,360991,66.36
2021-01-28,"CT",571775,381160,66.66
2021-01-29,"CT",577625,403370,69.83
2021-01-30,"CT",578600,421191,72.79
2021-01-31,"CT",578600,436842,75.5
2021-02-01,"CT",578600,449253,77.64
2021-02-02,"CT",574650,456090,79.37
2021-02-03,"CT",608600,465008,76.41
2021-02-04,"CT",666175,481826,72.33
2021-02-05,"CT",668125,502347,75.19
2021-02-06,"CT",740300,519400,70.16
2021-02-07,"CT",740300,533941,72.12
2021-02-08,"CT",740300,542414,73.27
2021-02-09,"CT",800225,554322,69.27
2021-02-10,"CT",801325,574750,71.72
2021-02-11,"CT",812325,600249,73.89
2021-02-12,"CT",814525,626678,76.94
2021-02-13,"CT",847200,654766,77.29
2021-02-14,"CT",854725,674704,78.94
2021-01-04,"MA",287000,110279,38.42
2021-01-05,"MA",328900,114465,34.8
2021-01-06,"MA",329000,124450,37.83
2021-01-07,"MA",449025,137858,30.7
2021-01-08,"MA",449625,151430,33.68
2021-01-09,"MA",NA,NA,NA
2021-01-10,"MA",NA,NA,NA
2021-01-11,"MA",458600,197823,43.14
2021-01-12,"MA",476025,204082,42.87
2021-01-13,"MA",656850,217443,33.1
2021-01-14,"MA",669225,233476,34.89
2021-01-15,"MA",669325,257175,38.42
2021-01-16,"MA",NA,NA,NA
2021-01-17,"MA",NA,NA,NA
2021-01-18,"MA",NA,NA,NA
2021-01-19,"MA",669325,318877,47.64
2021-01-20,"MA",737550,330490,44.81
2021-01-21,"MA",776400,353117,45.48
2021-01-22,"MA",854950,370627,43.35
2021-01-23,"MA",859175,392967,45.74
2021-01-24,"MA",859175,419806,48.86
2021-01-25,"MA",859175,433615,50.47
2021-01-26,"MA",875825,442703,50.55
2021-01-27,"MA",956800,464275,48.52
2021-01-28,"MA",1018975,490332,48.12
2021-01-29,"MA",1057000,520504,49.24
2021-01-30,"MA",1060900,547082,51.57
2021-01-31,"MA",1060900,579181,54.59
2021-02-01,"MA",1060900,608947,57.4
2021-02-02,"MA",1039775,625477,60.16
2021-02-03,"MA",1156375,625477,54.09
2021-02-04,"MA",1229075,652929,53.12
2021-02-05,"MA",1247600,685074,54.91
2021-02-06,"MA",1247600,727120,58.28
2021-02-07,"MA",1247600,780268,62.54
2021-02-08,"MA",1247600,806376,64.63
2021-02-09,"MA",1273975,832242,65.33
2021-02-10,"MA",1393725,883945,63.42
2021-02-11,"MA",1445425,924612,63.97
2021-02-12,"MA",1499450,962711,64.2
2021-02-13,"MA",1502725,1009560,67.18
2021-02-14,"MA",1502925,1085584,72.23
2021-01-04,"RI",55600,22544,40.55
2021-01-05,"RI",55600,23151,41.64
2021-01-06,"RI",55600,25688,46.2
2021-01-07,"RI",72175,27696,38.37
2021-01-08,"RI",72175,30264,41.93
2021-01-09,"RI",NA,NA,NA
2021-01-10,"RI",NA,NA,NA
2021-01-11,"RI",80225,37707,47
2021-01-12,"RI",80225,39568,49.32
2021-01-13,"RI",82175,42028,51.14
2021-01-14,"RI",84125,44871,53.34
2021-01-15,"RI",108425,47548,43.85
2021-01-16,"RI",NA,NA,NA
2021-01-17,"RI",NA,NA,NA
2021-01-18,"RI",NA,NA,NA
2021-01-19,"RI",108425,54081,49.88
2021-01-20,"RI",122575,56617,46.19
2021-01-21,"RI",127450,59014,46.3
2021-01-22,"RI",136225,61974,45.49
2021-01-23,"RI",149225,63249,42.38
2021-01-24,"RI",149225,67566,45.28
2021-01-25,"RI",149225,70419,47.19
2021-01-26,"RI",151675,72264,47.64
2021-01-27,"RI",151675,76284,50.29
2021-01-28,"RI",153625,80138,52.16
2021-01-29,"RI",157525,83607,53.08
2021-01-30,"RI",173225,88094,50.86
2021-01-31,"RI",173225,91177,52.64
2021-02-01,"RI",173225,94240,54.4
2021-02-02,"RI",176150,99541,56.51
2021-02-03,"RI",176650,101474,57.44
2021-02-04,"RI",178600,103876,58.16
2021-02-05,"RI",178600,106949,59.88
2021-02-06,"RI",192300,111830,58.15
2021-02-07,"RI",192300,117067,60.88
2021-02-08,"RI",192300,120484,62.65
2021-02-09,"RI",207950,122079,58.71
2021-02-10,"RI",208350,124962,59.98
2021-02-11,"RI",211650,127931,60.44
2021-02-12,"RI",211850,131913,62.27
2021-02-13,"RI",228650,136904,59.87
2021-02-14,"RI",228650,141155,61.73
